"TRADINGDATE","FUNDCLASSID","SYMBOL","NAV","ACCUMULATIVENAV","NAVGROWTHRATE","ACCUMULATIVENAVGROWTH","ADJUSTFACTOR","ACCADJUSTFACTOR","ADJUSTEDNAV","ADJUSTEDNAVGROWTH","RISKPREMIUM","UPDATEID","UPDATESTATE","UPDATETIME","BUSINESSTIME","UTSID"
2019-12-03 00:00:00.000,202000007287,"004685",1.1572,1.1572,0.845316,0.845316,1.000000,1.000000,1.157200,0.845316,0.841216,147694651,1,2019-12-04 19:04:37.000,2019-12-03 20:53:49.000,30929499
2020-01-14 00:00:00.000,202000007287,"004685",1.2873,1.2873,0.023310,0.023310,1.000000,1.000000,1.287300,0.023310,0.019210,150500785,1,2020-01-14 22:04:16.000,2020-01-14 20:51:19.000,36264956
2020-03-02 00:00:00.000,202000007287,"004685",1.2451,1.2451,4.140181,4.140181,1.000000,1.000000,1.245100,4.140181,4.136081,152963925,1,2020-03-02 22:05:25.000,2020-03-02 20:51:17.000,37765579
2020-04-22 00:00:00.000,202000007287,"004685",1.3096,1.3096,0.862600,0.862600,1.000000,1.000000,1.309600,0.862600,0.858500,153959141,1,2020-04-22 22:06:21.000,2020-04-22 20:52:20.000,39296571
2020-07-30 00:00:00.000,202000007287,"004685",1.6044,1.6044,-0.093406,-0.093406,1.000000,1.000000,1.604400,-0.093406,-0.097506,156305324,1,2020-07-30 22:07:18.000,2020-07-30 20:51:17.000,40283643
2020-09-18 00:00:00.000,202000007287,"004685",1.8141,1.8141,0.979683,0.979683,1.000000,1.000000,1.814100,0.979683,0.975583,156851602,1,2020-09-18 23:04:54.000,2020-09-18 21:52:02.000,40748969
2020-11-10 00:00:00.000,202000007287,"004685",1.8301,1.8301,-0.277899,-0.277899,1.000000,1.000000,1.830100,-0.277899,-0.281999,157552014,1,2020-11-10 22:13:01.000,2020-11-10 20:51:11.000,41325641
2021-03-30 00:00:00.000,202000007287,"004685",1.8921,1.8921,-0.833333,-0.833333,1.000000,1.000000,1.892100,-0.833333,-0.837433,178978430,1,2021-03-30 22:22:50.000,2021-03-30 20:54:16.000,45122006
2021-07-19 00:00:00.000,202000007287,"004685",2.0698,2.0698,0.024163,0.024163,1.000000,1.000000,2.069800,0.024163,0.020063,196855976,1,2021-07-19 23:08:50.000,2021-07-19 21:52:46.000,46303402
2021-09-09 00:00:00.000,202000007287,"004685",2.3403,2.3403,0.476558,0.476558,1.000000,1.000000,2.340300,0.476558,0.472458,198643232,1,2021-09-09 22:13:46.000,2021-09-09 20:51:28.000,47797176
